Index,UniProt accession,UniProt name,Status,Protein name,Gene symbol,Species,Identification number
121,P06576,ATPB_HUMAN,reviewed,"ATP synthase subunit beta, mitochondrial (EC 3.6.3.14)","ATP5B ATPMB ATPSB","Homo sapiens (Human)",253
120,P61586,RHOA_HUMAN,reviewed,"Transforming protein RhoA (Rho cDNA clone 12) (h12)","RHOA ARH12 ARHA RHO12","Homo sapiens (Human)",253
122,Q08431,MFGM_HUMAN,reviewed,"Lactadherin (Breast epithelial antigen BA46) (HMFG) (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) [Cleaved into: Lactadherin short form; Medin]",MFGE8,"Homo sapiens (Human)",251
124,Q15758,AAAT_HUMAN,reviewed,"Neutral amino acid transporter B(0) (ATB(0)) (Baboon M7 virus receptor) (RD114/simian type D retrovirus receptor) (Sodium-dependent neutral amino acid transporter type 2) (Solute carrier family 1 member 5)","SLC1A5 ASCT2 M7V1 RDR RDRC","Homo sapiens (Human)",250
123,P29401,TKT_HUMAN,reviewed,"Transketolase (TK) (EC 2.2.1.1)",TKT,"Homo sapiens (Human)",250
125,P28066,PSA5_HUMAN,reviewed,"Proteasome subunit alpha type-5 (EC 3.4.25.1) (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome zeta chain)",PSMA5,"Homo sapiens (Human)",249
126,P52209,6PGD_HUMAN,reviewed,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)","PGD PGDH","Homo sapiens (Human)",248
128,Q9H223,EHD4_HUMAN,reviewed,"EH domain-containing protein 4 (Hepatocellular carcinoma-associated protein 10/11) (PAST homolog 4)","EHD4 HCA10 HCA11 PAST4 FKSG7","Homo sapiens (Human)",248
127,P08754,GNAI3_HUMAN,reviewed,"Guanine nucleotide-binding protein G(k) subunit alpha (G(i) alpha-3)",GNAI3,"Homo sapiens (Human)",248
131,P61158,ARP3_HUMAN,reviewed,"Actin-related protein 3 (Actin-like protein 3)","ACTR3 ARP3","Homo sapiens (Human)",247
132,P16070,CD44_HUMAN,reviewed,"CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)","CD44 LHR MDU2 MDU3 MIC4","Homo sapiens (Human)",247
130,P60033,CD81_HUMAN,reviewed,"CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81)","CD81 TAPA1 TSPAN28","Homo sapiens (Human)",247
129,P40925,MDHC_HUMAN,reviewed,"Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase) (Diiodophenylpyruvate reductase) (EC 1.1.1.96)","MDH1 MDHA","Homo sapiens (Human)",247
134,P62241,RS8_HUMAN,reviewed,"40S ribosomal protein S8 (Small ribosomal subunit protein eS8)","RPS8 OK/SW-cl.83","Homo sapiens (Human)",246
133,Q99536,VAT1_HUMAN,reviewed,"Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-)",VAT1,"Homo sapiens (Human)",246
138,P08865,RSSA_HUMAN,reviewed,"40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)","RPSA LAMBR LAMR1","Homo sapiens (Human)",245
135,P59998,ARPC4_HUMAN,reviewed,"Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC)","ARPC4 ARC20","Homo sapiens (Human)",245
136,P52907,CAZA1_HUMAN,reviewed,"F-actin-capping protein subunit alpha-1 (CapZ alpha-1)",CAPZA1,"Homo sapiens (Human)",245
137,P08670,VIME_HUMAN,reviewed,Vimentin,VIM,"Homo sapiens (Human)",245
141,P98160,PGBM_HUMAN,reviewed,"Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]",HSPG2,"Homo sapiens (Human)",244
140,Q9H0U4,RAB1B_HUMAN,reviewed,"Ras-related protein Rab-1B",RAB1B,"Homo sapiens (Human)",244
139,P61006,RAB8A_HUMAN,reviewed,"Ras-related protein Rab-8A (Oncogene c-mel)","RAB8A MEL RAB8","Homo sapiens (Human)",244
142,P07237,PDIA1_HUMAN,reviewed,"Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)","P4HB ERBA2L PDI PDIA1 PO4DB","Homo sapiens (Human)",243
143,P61225,RAP2B_HUMAN,reviewed,"Ras-related protein Rap-2b",RAP2B,"Homo sapiens (Human)",243
144,P09543,CN37_HUMAN,reviewed,"2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)",CNP,"Homo sapiens (Human)",242
146,P61769,B2MG_HUMAN,reviewed,"Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]","B2M CDABP0092 HDCMA22P","Homo sapiens (Human)",242
145,P35241,RADI_HUMAN,reviewed,Radixin,RDX,"Homo sapiens (Human)",242
149,P62269,RS18_HUMAN,reviewed,"40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)","RPS18 D6S218E","Homo sapiens (Human)",241
148,P18124,RL7_HUMAN,reviewed,"60S ribosomal protein L7 (Large ribosomal subunit protein uL30)",RPL7,"Homo sapiens (Human)",241
147,P61019,RAB2A_HUMAN,reviewed,"Ras-related protein Rab-2A","RAB2A RAB2","Homo sapiens (Human)",241
152,P07339,CATD_HUMAN,reviewed,"Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]","CTSD CPSD","Homo sapiens (Human)",240
150,P13987,CD59_HUMAN,reviewed,"CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59)","CD59 MIC11 MIN1 MIN2 MIN3 MSK21","Homo sapiens (Human)",240
151,Q15286,RAB35_HUMAN,reviewed,"Ras-related protein Rab-35 (GTP-binding protein RAY) (Ras-related protein Rab-1C)","RAB35 RAB1C RAY","Homo sapiens (Human)",240
153,P48643,TCPE_HUMAN,reviewed,"T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)","CCT5 CCTE KIAA0098","Homo sapiens (Human)",240
154,P68363,TBA1B_HUMAN,reviewed,"Tubulin alpha-1B chain (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]",TUBA1B,"Homo sapiens (Human)",240
156,P62249,RS16_HUMAN,reviewed,"40S ribosomal protein S16 (Small ribosomal subunit protein uS9)",RPS16,"Homo sapiens (Human)",239
157,P15880,RS2_HUMAN,reviewed,"40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5)","RPS2 RPS4","Homo sapiens (Human)",239
155,P11166,GTR1_HUMAN,reviewed,"Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)","SLC2A1 GLUT1","Homo sapiens (Human)",239
158,P30086,PEBP1_HUMAN,reviewed,"Phosphatidylethanolamine-binding protein 1 (PEBP-1) (HCNPpp) (Neuropolypeptide h3) (Prostatic-binding protein) (Raf kinase inhibitor protein) (RKIP) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)]","PEBP1 PBP PEBP","Homo sapiens (Human)",238
160,P52565,GDIR1_HUMAN,reviewed,"Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)","ARHGDIA GDIA1","Homo sapiens (Human)",238
159,P49368,TCPG_HUMAN,reviewed,"T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma) (hTRiC5)","CCT3 CCTG TRIC5","Homo sapiens (Human)",238
161,P61160,ARP2_HUMAN,reviewed,"Actin-related protein 2 (Actin-like protein 2)","ACTR2 ARP2","Homo sapiens (Human)",237
162,Q14344,GNA13_HUMAN,reviewed,"Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13)",GNA13,"Homo sapiens (Human)",237
163,P31939,PUR9_HUMAN,reviewed,"Bifunctional purine biosynthesis protein PURH [Cleaved into: Bifunctional purine biosynthesis protein PURH, N-terminally processed] [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]","ATIC PURH OK/SW-cl.86","Homo sapiens (Human)",235
164,P25788,PSA3_HUMAN,reviewed,"Proteasome subunit alpha type-3 (EC 3.4.25.1) (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8)","PSMA3 HC8 PSC8","Homo sapiens (Human)",232
166,P62701,RS4X_HUMAN,reviewed,"40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)","RPS4X CCG2 RPS4 SCAR","Homo sapiens (Human)",230
169,Q562R1,ACTBL_HUMAN,reviewed,"Beta-actin-like protein 2 (Kappa-actin)",ACTBL2,"Homo sapiens (Human)",230
165,P25787,PSA2_HUMAN,reviewed,"Proteasome subunit alpha type-2 (EC 3.4.25.1) (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3)","PSMA2 HC3 PSC3","Homo sapiens (Human)",230
168,P63244,RACK1_HUMAN,reviewed,"Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]","RACK1 GNB2L1 HLC7 PIG21","Homo sapiens (Human)",230
167,O00159,MYO1C_HUMAN,reviewed,"Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)",MYO1C,"Homo sapiens (Human)",230
170,P25786,PSA1_HUMAN,reviewed,"Proteasome subunit alpha type-1 (EC 3.4.25.1) (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)","PSMA1 HC2 NU PROS30 PSC2","Homo sapiens (Human)",229
171,P11279,LAMP1_HUMAN,reviewed,"Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a)",LAMP1,"Homo sapiens (Human)",228
173,P49720,PSB3_HUMAN,reviewed,"Proteasome subunit beta type-3 (EC 3.4.25.1) (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)",PSMB3,"Homo sapiens (Human)",228
172,P31949,S10AB_HUMAN,reviewed,"Protein S100-A11 (Calgizzarin) (Metastatic lymph node gene 70 protein) (MLN 70) (Protein S100-C) (S100 calcium-binding protein A11) [Cleaved into: Protein S100-A11, N-terminally processed]","S100A11 MLN70 S100C","Homo sapiens (Human)",228
176,P30050,RL12_HUMAN,reviewed,"60S ribosomal protein L12 (Large ribosomal subunit protein uL11)",RPL12,"Homo sapiens (Human)",227
175,O75369,FLNB_HUMAN,reviewed,"Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)","FLNB FLN1L FLN3 TABP TAP","Homo sapiens (Human)",227
177,P14923,PLAK_HUMAN,reviewed,"Junction plakoglobin (Catenin gamma) (Desmoplakin III) (Desmoplakin-3)","JUP CTNNG DP3","Homo sapiens (Human)",227
174,P38606,VATA_HUMAN,reviewed,"V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 3.6.3.14) (V-ATPase 69 kDa subunit) (Vacuolar ATPase isoform VA68) (Vacuolar proton pump subunit alpha)","ATP6V1A ATP6A1 ATP6V1A1 VPP2","Homo sapiens (Human)",227
178,P10809,CH60_HUMAN,reviewed,"60 kDa heat shock protein, mitochondrial (EC 3.6.4.9) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)","HSPD1 HSP60","Homo sapiens (Human)",226
179,P18085,ARF4_HUMAN,reviewed,"ADP-ribosylation factor 4","ARF4 ARF2","Homo sapiens (Human)",226
183,P62330,ARF6_HUMAN,reviewed,"ADP-ribosylation factor 6",ARF6,"Homo sapiens (Human)",226
181,Q86VP6,CAND1_HUMAN,reviewed,"Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (TBP-interacting protein of 120 kDa A) (TBP-interacting protein 120A) (p120 CAND1)","CAND1 KIAA0829 TIP120 TIP120A","Homo sapiens (Human)",226
182,O43175,SERA_HUMAN,reviewed,"D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)","PHGDH PGDH3","Homo sapiens (Human)",226
184,Q969P0,IGSF8_HUMAN,reviewed,"Immunoglobulin superfamily member 8 (IgSF8) (CD81 partner 3) (Glu-Trp-Ile EWI motif-containing protein 2) (EWI-2) (Keratinocytes-associated transmembrane protein 4) (KCT-4) (LIR-D1) (Prostaglandin regulatory-like protein) (PGRL) (CD antigen CD316)","IGSF8 CD81P3 EWI2 KCT4","Homo sapiens (Human)",226
180,P20618,PSB1_HUMAN,reviewed,"Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)","PSMB1 PSC5","Homo sapiens (Human)",226
186,Q13200,PSMD2_HUMAN,reviewed,"26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2)","PSMD2 TRAP2","Homo sapiens (Human)",225
185,P27797,CALR_HUMAN,reviewed,"Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)","CALR CRTC","Homo sapiens (Human)",225
189,P05388,RLA0_HUMAN,reviewed,"60S acidic ribosomal protein P0 (60S ribosomal protein L10E) (Large ribosomal subunit protein uL10)",RPLP0,"Homo sapiens (Human)",224
190,Q14204,DYHC1_HUMAN,reviewed,"Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)","DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325","Homo sapiens (Human)",224
188,Q7L576,CYFP1_HUMAN,reviewed,"Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1) (Sra-1) (p140sra-1)","CYFIP1 KIAA0068","Homo sapiens (Human)",224
187,P22234,PUR6_HUMAN,reviewed,"Multifunctional protein ADE2 [Includes: Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase); Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)]","PAICS ADE2 AIRC PAIS","Homo sapiens (Human)",224
195,O75131,CPNE3_HUMAN,reviewed,"Copine-3 (Copine III)","CPNE3 CPN3 KIAA0636","Homo sapiens (Human)",223
192,P06748,NPM_HUMAN,reviewed,"Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)","NPM1 NPM","Homo sapiens (Human)",223
194,Q9Y265,RUVB1_HUMAN,reviewed,"RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (54 kDa erythrocyte cytosolic protein) (ECP-54) (INO80 complex subunit H) (Nuclear matrix protein 238) (NMP 238) (Pontin 52) (TIP49a) (TIP60-associated protein 54-alpha) (TAP54-alpha)","RUVBL1 INO80H NMP238 TIP49 TIP49A","Homo sapiens (Human)",223
193,P30153,2AAA_HUMAN,reviewed,"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)",PPP2R1A,"Homo sapiens (Human)",223
191,P04004,VTNC_HUMAN,reviewed,"Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]",VTN,"Homo sapiens (Human)",223
198,P05387,RLA2_HUMAN,reviewed,"60S acidic ribosomal protein P2 (Large ribosomal subunit protein P2) (Renal carcinoma antigen NY-REN-44)","RPLP2 D11S2243E RPP2","Homo sapiens (Human)",222
197,Q07020,RL18_HUMAN,reviewed,"60S ribosomal protein L18 (Large ribosomal subunit protein eL18)",RPL18,"Homo sapiens (Human)",222
196,P23229,ITA6_HUMAN,reviewed,"Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)]",ITGA6,"Homo sapiens (Human)",222
203,P06756,ITAV_HUMAN,reviewed,"Integrin alpha-V (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]","ITGAV MSK8 VNRA","Homo sapiens (Human)",221
200,Q14697,GANAB_HUMAN,reviewed,"Neutral alpha-glucosidase AB (EC 3.2.1.84) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)","GANAB G2AN KIAA0088","Homo sapiens (Human)",221
202,P60900,PSA6_HUMAN,reviewed,"Proteasome subunit alpha type-6 (EC 3.4.25.1) (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain)","PSMA6 PROS27","Homo sapiens (Human)",221
201,Q15084,PDIA6_HUMAN,reviewed,"Protein disulfide-isomerase A6 (EC 5.3.4.1) (Endoplasmic reticulum protein 5) (ER protein 5) (ERp5) (Protein disulfide isomerase P5) (Thioredoxin domain-containing protein 7)","PDIA6 ERP5 P5 TXNDC7","Homo sapiens (Human)",221
199,Q99816,TS101_HUMAN,reviewed,"Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101)",TSG101,"Homo sapiens (Human)",221
206,P61247,RS3A_HUMAN,reviewed,"40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1)","RPS3A FTE1 MFTL","Homo sapiens (Human)",220
205,P62424,RL7A_HUMAN,reviewed,"60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)","RPL7A SURF-3 SURF3","Homo sapiens (Human)",220
204,O15144,ARPC2_HUMAN,reviewed,"Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)","ARPC2 ARC34 PRO2446","Homo sapiens (Human)",220
208,P36578,RL4_HUMAN,reviewed,"60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)","RPL4 RPL1","Homo sapiens (Human)",219
207,P11586,C1TC_HUMAN,reviewed,"C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Cleaved into: C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed] [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]","MTHFD1 MTHFC MTHFD","Homo sapiens (Human)",219
210,Q14254,FLOT2_HUMAN,reviewed,"Flotillin-2 (Epidermal surface antigen) (ESA) (Membrane component chromosome 17 surface marker 1)","FLOT2 ESA1 M17S1","Homo sapiens (Human)",218
209,P40926,MDHM_HUMAN,reviewed,"Malate dehydrogenase, mitochondrial (EC 1.1.1.37)",MDH2,"Homo sapiens (Human)",218
211,P28074,PSB5_HUMAN,reviewed,"Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit MB1) (Proteasome subunit X)","PSMB5 LMPX MB1 X","Homo sapiens (Human)",218
212,P55060,XPO2_HUMAN,reviewed,"Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)","CSE1L CAS XPO2","Homo sapiens (Human)",217
213,P61978,HNRPK_HUMAN,reviewed,"Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)","HNRNPK HNRPK","Homo sapiens (Human)",217
215,P31947,1433S_HUMAN,reviewed,"14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)","SFN HME1","Homo sapiens (Human)",216
214,O75874,IDHC_HUMAN,reviewed,"Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)","IDH1 PICD","Homo sapiens (Human)",216
216,P15531,NDKA_HUMAN,reviewed,"Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein)","NME1 NDPKA NM23","Homo sapiens (Human)",216
217,Q15365,PCBP1_HUMAN,reviewed,"Poly(rC)-binding protein 1 (Alpha-CP1) (Heterogeneous nuclear ribonucleoprotein E1) (hnRNP E1) (Nucleic acid-binding protein SUB2.3)",PCBP1,"Homo sapiens (Human)",216
218,P54709,AT1B3_HUMAN,reviewed,"Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)",ATP1B3,"Homo sapiens (Human)",216
219,Q9P2B2,FPRP_HUMAN,reviewed,"Prostaglandin F2 receptor negative regulator (CD9 partner 1) (CD9P-1) (Glu-Trp-Ile EWI motif-containing protein F) (EWI-F) (Prostaglandin F2-alpha receptor regulatory protein) (Prostaglandin F2-alpha receptor-associated protein) (CD antigen CD315)","PTGFRN CD9P1 EWIF FPRP KIAA1436","Homo sapiens (Human)",215
221,Q9Y696,CLIC4_HUMAN,reviewed,"Chloride intracellular channel protein 4 (Intracellular chloride ion channel protein p64H1)",CLIC4,"Homo sapiens (Human)",214
220,P34932,HSP74_HUMAN,reviewed,"Heat shock 70 kDa protein 4 (HSP70RY) (Heat shock 70-related protein APG-2)","HSPA4 APG2","Homo sapiens (Human)",214
222,P11413,G6PD_HUMAN,reviewed,"Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)",G6PD,"Homo sapiens (Human)",213
224,P22392,NDKB_HUMAN,reviewed,"Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (C-myc purine-binding transcription factor PUF) (Histidine protein kinase NDKB) (EC 2.7.13.3) (nm23-H2)","NME2 NM23B","Homo sapiens (Human)",213
223,Q99497,PARK7_HUMAN,reviewed,"Protein DJ-1 (DJ-1) (Oncogene DJ1) (Parkinson disease protein 7) (Parkinsonism-associated deglycase) (Protein deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.124)",PARK7,"Homo sapiens (Human)",213
225,P68871,HBB_HUMAN,reviewed,"Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin]",HBB,"Homo sapiens (Human)",212
226,Q15907,RB11B_HUMAN,reviewed,"Ras-related protein Rab-11B (GTP-binding protein YPT3)","RAB11B YPT3","Homo sapiens (Human)",212
229,P25789,PSA4_HUMAN,reviewed,"Proteasome subunit alpha type-4 (EC 3.4.25.1) (Macropain subunit C9) (Multicatalytic endopeptidase complex subunit C9) (Proteasome component C9) (Proteasome subunit L)","PSMA4 HC9 PSC9","Homo sapiens (Human)",211
227,P62834,RAP1A_HUMAN,reviewed,"Ras-related protein Rap-1A (C21KG) (G-22K) (GTP-binding protein smg p21A) (Ras-related protein Krev-1)","RAP1A KREV1","Homo sapiens (Human)",211
